player_id,player_x,team,height,weight,position,player_y,season,team_id,gp,pts,ast,reb,fgm,fga,fg_pct,min
1628381,John Collins,Jazz,6-9,226,Forward-Center,John Collins,2024-25,1610612762,40,758,80,327,280,531,0.527,1221.0
1641879,Yuri Collins,,6-0,190,Guard,Yuri Collins,2024-25,1610612744,2,2,4,3,1,3,0.333,16.0
1628380,Zach Collins,Bulls,6-11,250,Forward-Center,Zach Collins,2024-25,0,64,407,111,288,153,302,0.507,977.0
201144,Mike Conley,Timberwolves,6-0,175,Guard,Mike Conley,2024-25,1610612750,71,582,319,182,187,468,0.4,1756.0
1626192,Pat Connaughton,Bucks,6-5,209,Guard,Pat Connaughton,2024-25,1610612749,41,216,70,109,83,177,0.469,603.0
1641731,Bilal Coulibaly,Wizards,6-8,195,Guard,Bilal Coulibaly,2024-25,1610612764,59,727,199,294,263,624,0.421,1948.0
1641741,Ricky Council IV,76ers,6-6,207,Guard,Ricky Council IV,2024-25,1610612755,73,532,97,214,177,463,0.382,1250.0
1628470,Torrey Craig,Celtics,6-5,221,Forward,Torrey Craig,2024-25,0,26,108,17,73,38,90,0.422,314.0
1642384,Isaiah Crawford,Kings,6-6,220,Forward,Isaiah Crawford,2024-25,1610612758,15,13,1,8,5,11,0.455,46.0
203109,Jae Crowder,Kings,6-6,235,Forward,Jae Crowder,2024-25,1610612758,9,23,6,20,7,22,0.318,103.0
1630595,Cade Cunningham,Pistons,6-6,220,Guard,Cade Cunningham,2024-25,1610612765,70,1830,638,425,684,1457,0.469,2452.0
203552,Seth Curry,Hornets,6-1,185,Guard,Seth Curry,2024-25,1610612766,68,444,60,113,164,343,0.478,1062.0
201939,Stephen Curry,Warriors,6-2,185,Guard,Stephen Curry,2024-25,1610612744,70,1718,421,310,564,1258,0.448,2252.0
1642359,Pacome Dadiet,Knicks,6-8,210,Forward,Pacome Dadiet,2024-25,1610612752,18,30,5,18,10,31,0.323,111.0
1630700,Dyson Daniels,Hawks,6-7,199,Guard,Dyson Daniels,2024-25,1610612737,76,1073,333,449,455,923,0.493,2571.0
1642368,N'Faly Dante,Rockets,6-11,230,Center,N'Faly Dante,2024-25,1610612745,4,24,2,21,10,13,0.769,51.0
203076,Anthony Davis,Mavericks,6-10,253,Forward-Center,Anthony Davis,2024-25,0,51,1261,181,590,470,910,0.516,1705.0
1631098,Johnny Davis,,6-4,195,Guard,Johnny Davis,2024-25,1610612764,34,80,11,38,32,78,0.41,242.0
1631120,JD Davison,Celtics,6-1,195,Guard,JD Davison,2024-25,1610612738,16,33,13,13,12,34,0.353,93.0
201942,DeMar DeRozan,Kings,6-6,220,Guard-Forward,DeMar DeRozan,2024-25,1610612758,77,1710,342,298,624,1308,0.477,2768.0
1642484,RayJ Dennis,Pacers,6-2,180,Guard,RayJ Dennis,2024-25,1610612754,11,30,14,12,11,33,0.333,70.0
1628978,Donte DiVincenzo,Timberwolves,6-4,203,Guard,Donte DiVincenzo,2024-25,1610612750,62,723,225,228,250,593,0.422,1606.0
1631217,Moussa Diabaté,Hornets,6-9,210,Forward,Moussa Diabaté,2024-25,1610612766,71,403,56,438,167,280,0.596,1241.0
1641711,Gradey Dick,Raptors,6-6,200,Guard-Forward,Gradey Dick,2024-25,1610612761,54,777,98,193,265,647,0.41,1587.0
